title,link,authors,metric,year
"Enhancing LLM-based Code Translation in Repository Context via Triple
  Knowledge-Augmented",http://arxiv.org/abs/2503.18305v2,"Guangsheng Ou, Mingwei Liu, Yuxuan Chen, Xueying Du, Shengbo Wang, Zekai Zhang, Xin Peng, Zibin Zheng",CodeBLEU,2025
"SciReplicate-Bench: Benchmarking LLMs in Agent-driven Algorithmic
  Reproduction from Research Papers",http://arxiv.org/abs/2504.00255v2,"Yanzheng Xiang, Hanqi Yan, Shuyin Ouyang, Lin Gui, Yulan He",CodeBLEU,2025
"CodeBC: A More Secure Large Language Model for Smart Contract Code
  Generation in Blockchain",http://arxiv.org/abs/2504.21043v2,"Lingxiang Wang, Hainan Zhang, Qinnan Zhang, Ziwei Wang, Hongwei Zheng, Jin Dong, Zhiming Zheng",CodeBLEU,2025
Mutual-Supervised Learning for Sequential-to-Parallel Code Translation,http://arxiv.org/abs/2506.11153v1,"Changxin Ke, Rui Zhang, Shuo Wang, Li Ding, Guangli Li, Yuanbo Wen, Shuoming Zhang, Ruiyuan Xu, Jin Qin, Jiaming Guo, Chenxi Wang, Ling Li, Qi Guo, Yunji Chen",CodeBLEU,2025
On the Effect of Token Merging on Pre-trained Models for Code,http://arxiv.org/abs/2507.14423v1,"Mootez Saad, Hao Li, Tushar Sharma, Ahmed E. Hassan",CodeBLEU,2025
"Benchmarking Causal Study to Interpret Large Language Models for Source
  Code",http://arxiv.org/abs/2308.12415v1,"Daniel Rodriguez-Cardenas, David N. Palacio, Dipin Khati, Henry Burke, Denys Poshyvanyk",CodeBLEU,2023
MonoCoder: Domain-Specific Code Language Model for HPC Codes and Tasks,http://arxiv.org/abs/2312.13322v3,"Tal Kadosh, Niranjan Hasabnis, Vy A. Vo, Nadav Schneider, Neva Krien, Mihai Capota, Abdul Wasay, Nesreen Ahmed, Ted Willke, Guy Tamir, Yuval Pinter, Timothy Mattson, Gal Oren",CodeBLEU,2023
"Teaching Code LLMs to Use Autocompletion Tools in Repository-Level Code
  Generation",http://arxiv.org/abs/2401.06391v3,"Chong Wang, Jian Zhang, Yebo Feng, Tianlin Li, Weisong Sun, Yang Liu, Xin Peng",CodeBLEU,2024
Enhancing Automated Program Repair with Solution Design,http://arxiv.org/abs/2408.12056v2,"Jiuang Zhao, Donghao Yang, Li Zhang, Xiaoli Lian, Zitian Yang, Fang Liu",CodeBLEU,2024
PyGen: A Collaborative Human-AI Approach to Python Package Creation,http://arxiv.org/abs/2411.08932v4,"Saikat Barua, Mostafizur Rahman, Md Jafor Sadek, Rafiul Islam, Shehenaz Khaled, Md. Shohrab Hossain",CodeBLEU,2024
"Understanding the Effectiveness of LLMs in Automated Self-Admitted
  Technical Debt Repayment",http://arxiv.org/abs/2501.09888v1,"Mohammad Sadegh Sheikhaei, Yuan Tian, Shaowei Wang, Bowen Xu",CrystalBLEU,2025
"Evaluating and Optimizing the Effectiveness of Neural Machine
  Translation in Supporting Code Retrieval Models: A Study on the CAT Benchmark",http://arxiv.org/abs/2308.04693v1,"Hung Phan, Ali Jannesari",CrystalBLEU,2023
"On the Limitations of Embedding Based Methods for Measuring Functional
  Correctness for Code Generation",http://arxiv.org/abs/2405.01580v1,Atharva Naik,CodeBERTScore,2024
"Aligning LLMs through Multi-perspective User Preference Ranking-based
  Feedback for Programming Question Answering",http://arxiv.org/abs/2406.00037v1,"Hongyu Yang, Liyang He, Min Hou, Shuanghong Shen, Rui Li, Jiahui Hou, Jianhui Ma, Junda Zhao",CodeBERTScore,2024
